#x 0.5   1.5   2.5   3.5   4.5   5.5   6.5   7.5   8.5   9.5
  8.97  7.25  9.99 11.93 15.11 23.37 26.16 24.33 29.63 36.00
  4.41  9.56  7.90 21.06 16.18 21.45 24.32 27.51 30.77 31.44
  7.60  6.24 12.03 13.54 21.79 19.17 21.49 27.93 31.92 34.10
  7.55 12.20 13.26 15.08 17.97 23.81 24.52 29.38 31.83 34.57
  6.44  8.63 11.88 15.54 17.76 19.76 25.90 27.30 28.79 34.86
  5.71  9.00 14.06 14.27 23.62 21.76 21.68 31.83 30.95 33.76
  6.17  9.04 10.19 14.96 13.42 20.15 23.90 22.25 29.90 32.96
 10.12 11.04 12.95 11.18 21.33 19.22 23.48 27.91 31.68 31.90
  6.93  8.93 10.43 14.95 16.72 20.81 24.01 26.09 29.29 32.95
  6.52 13.19 12.52 13.33 15.98 22.73 24.75 27.17 31.60 33.30
  5.05  7.28 10.51 15.40 18.50 20.79 25.17 28.32 27.68 34.89
 10.30  7.31 12.35 14.47 15.32 17.59 24.61 25.99 30.16 32.30
  6.63 10.20 12.31 15.80 15.44 23.43 24.66 27.20 33.64 34.48
  6.25  9.74 10.95 16.87 20.73 19.69 25.55 25.85 30.71 33.00
  7.74 10.69 12.20 15.73 18.97 24.91 27.42 30.01 27.86 32.00
  6.20  9.29 10.60 15.26 14.10 21.89 23.27 26.49 28.14 34.19
  4.71  8.11 11.76 15.67 17.23 21.03 23.29 30.71 33.45 31.21
  5.77 10.96 10.36 15.84 20.96 20.25 23.90 28.79 30.87 32.71
  6.18  8.18 12.67 16.35 19.37 20.47 25.14 31.10 29.53 32.72
  6.87  8.77 12.69 16.89 19.01 23.80 25.42 28.07 30.41 35.75
